household_key,COMMODITY_DESC,seed_items,relevance_als,relevance_mba,Relevance,source,source_detail,snapshot_week,was_recently_purchased
1,BAKED SWEET GOODS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.8174620975239483,0.0,0.8174620975239483,als,ALS,46,False
1,BATH TISSUES,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.08401829134749603,0.0,0.08401829134749603,als,ALS,46,False
1,BEANS - CANNED GLASS & MW,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.27248326122400274,0.0,0.27248326122400274,als,ALS,46,False
1,BEEF,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.0,0.7987256371814093,0.7987256371814093,mba,MBA,46,False
1,BEERS/ALES,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.0,0.8261111111111112,0.8261111111111112,mba,MBA,46,False
1,BREAKFAST SWEETS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.8376544692099462,0.022218670076726288,0.8376544692099462,both,BOTH,46,False
1,CANDY - CHECKLANE,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.013540252955837542,0.0,0.013540252955837542,als,ALS,46,False
1,CARROTS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.9002660085205991,0.0,0.9002660085205991,als,ALS,46,False
1,CHEESES,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.48719989750184195,0.0,0.48719989750184195,als,ALS,46,False
1,COFFEE,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.44638094425548547,0.0,0.44638094425548547,als,ALS,46,False
1,DINNER SAUSAGE,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.0,1.0,1.0,mba,MBA,46,False
1,EGGS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.0,0.07778532608695654,0.07778532608695654,mba,MBA,46,False
1,FRZN BREAKFAST FOODS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.46611565111104664,0.0,0.46611565111104664,als,ALS,46,False
1,FRZN MEAT/MEAT DINNERS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.984113078688739,0.0,0.984113078688739,als,ALS,46,False
1,FRZN NOVELTIES/WTR ICE,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.3379656871583822,0.0,0.3379656871583822,als,ALS,46,False
1,HAIR CARE PRODUCTS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.0,0.0,0.0,unknown,UNKNOWN,46,False
1,HOUSEHOLD CLEANG NEEDS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.10059112353051035,0.0,0.10059112353051035,als,ALS,46,False
1,ICE CREAM/MILK/SHERBTS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.5787639414060015,0.1965083382966052,0.5787639414060015,both,BOTH,46,False
1,LAUNDRY DETERGENTS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.22200629003284572,0.0,0.22200629003284572,als,ALS,46,False
1,MILK BY-PRODUCTS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.06795707039389373,0.0,0.06795707039389373,als,ALS,46,False
1,ONIONS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.3675476641355837,1.0,1.0,both,BOTH,46,False
1,PAPER HOUSEWARES,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.06408451055223814,0.0,0.06408451055223814,als,ALS,46,False
1,PNT BTR/JELLY/JAMS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.8847710781627616,1.0,1.0,both,BOTH,46,False
1,SALAD BAR,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.06615836844980039,0.0,0.06615836844980039,als,ALS,46,False
1,SALADS/DIPS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.5308237703079607,0.6298913043478263,0.6298913043478263,both,BOTH,46,False
1,SALD DRSNG/SNDWCH SPRD,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.47766428510906406,0.0,0.47766428510906406,als,ALS,46,False
1,SMOKED MEATS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,1.0,0.0,1.0,als,ALS,46,False
1,TOMATOES,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.0,1.0,1.0,mba,MBA,46,False
1,VEGETABLES - ALL OTHERS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.4835681907403938,1.0,1.0,both,BOTH,46,False
2,ANTACIDS,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.0,0.6898887122416533,0.6898887122416533,mba,MBA,46,False
2,BABY FOODS,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.0,0.008140403286034381,0.008140403286034381,mba,MBA,46,False
2,BACON,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.14901239833170446,0.0,0.14901239833170446,als,ALS,46,False
2,BAG SNACKS,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.028954473986047956,0.4060200668896321,0.4060200668896321,both,BOTH,46,False
2,BAKED BREAD/BUNS/ROLLS,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.23615414069881083,0.1965083382966052,0.23615414069881083,both,BOTH,46,False
2,BAKED SWEET GOODS,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.0,0.02517790579464596,0.02517790579464596,mba,MBA,46,False
2,BAKING MIXES,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.023625422564754524,0.0,0.023625422564754524,als,ALS,46,False
2,BAKING NEEDS,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.6716025445109288,0.0,0.6716025445109288,als,ALS,46,False
2,BATH TISSUES,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,1.0,0.6496509297020805,1.0,both,BOTH,46,False
2,BEEF,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.4132154548592187,0.0,0.4132154548592187,als,ALS,46,False
2,BEERS/ALES,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.0,0.4364864864864866,0.4364864864864866,mba,MBA,46,False
2,BREAD,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.30911505149799134,0.0,0.30911505149799134,als,ALS,46,False
2,BREAKFAST SAUSAGE/SANDWICHES,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.24682633387525435,0.0,0.24682633387525435,als,ALS,46,False
2,CAKES,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.0,0.814436248682824,0.814436248682824,mba,MBA,46,False
2,CANDY - CHECKLANE,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.0,0.13761215456394305,0.13761215456394305,mba,MBA,46,False
2,CANNED JUICES,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.09657936082759358,0.0,0.09657936082759358,als,ALS,46,False
2,CHEESE,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.23694305413361005,0.0,0.23694305413361005,als,ALS,46,False
2,CHEESES,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.3228223316393944,0.0,0.3228223316393944,als,ALS,46,False
2,CHICKEN/POULTRY,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.0,0.17904191616766474,0.17904191616766474,mba,MBA,46,False
2,COFFEE,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.0,0.02313252736443594,0.02313252736443594,mba,MBA,46,False
2,CONVENIENT BRKFST/WHLSM SNACKS,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.0,0.04519230769230764,0.04519230769230764,mba,MBA,46,False
2,COOKIES/CONES,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.0,1.0,1.0,mba,MBA,46,False
2,CRACKERS/MISC BKD FD,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.09066650474887829,0.18653846153846154,0.18653846153846154,both,BOTH,46,False
2,DELI MEATS,ICE CREAM/MILK/SHERBTS | SOFT DRINKS | CIGARETTES,0.8251738195205451,0.0,0.8251738195205451,als,ALS,46,False
