antecedent_item,consequent_item,lift,confidence,support,relevance_mba
ANALGESICS,COLD AND FLU,7.294736842105263,0.11403508771929825,0.0015632515632515633,1.0
ANALGESICS,WATER - CARBONATED/FLVRD DRINK,1.7231661831744716,0.07894736842105263,0.0010822510822510823,0.3615830915872358
ANALGESICS,CANDY - CHECKLANE,1.2479332078251617,0.09649122807017543,0.0013227513227513227,0.12396660391258085
ANTACIDS,CIGARETTES,2.3797774244833065,0.18,0.0010822510822510823,0.6898887122416533
APPLES,CITRUS,6.211764705882353,0.10084033613445377,0.001443001443001443,1.0
APPLES,TROPICAL FRUIT,5.418685121107266,0.24369747899159663,0.003487253487253487,1.0
APPLES,SALAD BAR,2.1692969870875176,0.1176470588235294,0.0016835016835016834,0.5846484935437588
APPLES,WATER - CARBONATED/FLVRD DRINK,1.6507642427049558,0.07563025210084033,0.0010822510822510823,0.3253821213524779
BABY FOODS,DIAPERS & DISPOSABLES,10.171699411359988,0.15533980582524273,0.001924001924001924,1.0
BABY FOODS,BABY HBC,8.548715019988578,0.08737864077669903,0.0010822510822510823,1.0
BABY FOODS,SOFT DRINKS,1.0162808065720688,0.17475728155339806,0.0021645021645021645,0.008140403286034381
BABY HBC,DIAPERS & DISPOSABLES,22.340342751273738,0.3411764705882353,0.003487253487253487,1.0
BABY HBC,BABY FOODS,8.548715019988578,0.10588235294117647,0.0010822510822510823,1.0
BAG SNACKS,MILK BY-PRODUCTS,3.3143478260869563,0.019927536231884056,0.0013227513227513227,1.0
BAG SNACKS,SANDWICHES,3.275047258979206,0.02717391304347826,0.0018037518037518038,1.0
BAG SNACKS,WAREHOUSE SNACKS,2.9231018818948735,0.02355072463768116,0.0015632515632515633,0.9615509409474368
BAG SNACKS,FROZEN PIZZA,2.6902173913043477,0.04528985507246377,0.0030062530062530063,0.8451086956521738
BAG SNACKS,CRACKERS/MISC BKD FD,2.40625,0.041666666666666664,0.0027657527657527657,0.703125
BAG SNACKS,HISPANIC,2.2465675057208236,0.03079710144927536,0.002044252044252044,0.6232837528604118
BAG SNACKS,SOFT DRINKS,1.812040133779264,0.31159420289855067,0.02068302068302068,0.406020066889632
BAG SNACKS,COOKIES/CONES,1.807826086956522,0.03260869565217391,0.0021645021645021645,0.40391304347826096
BAG SNACKS,DELI MEATS,1.6960840771667145,0.03079710144927536,0.002044252044252044,0.34804203858335725
BAG SNACKS,VEGETABLES SALAD,1.4940711462450593,0.021739130434782608,0.001443001443001443,0.24703557312252966
BAG SNACKS,LUNCHMEAT,1.478794345158709,0.028985507246376812,0.001924001924001924,0.23939717257935444
BAG SNACKS,CHEESE,1.4545727136431783,0.02536231884057971,0.0016835016835016834,0.22728635682158915
BAG SNACKS,BAKED SWEET GOODS,1.3936985251867458,0.03804347826086957,0.0025252525252525255,0.19684926259337288
BAG SNACKS,BAKED BREAD/BUNS/ROLLS,1.105328449905482,0.04891304347826087,0.003246753246753247,0.052664224952741034
BAG SNACKS,PREPARED FOOD,1.1006551518761167,0.028985507246376812,0.001924001924001924,0.050327575938058366
BAG SNACKS,CANNED JUICES,1.0446683592510313,0.034420289855072464,0.002284752284752285,0.02233417962551565
BAG SNACKS,BEERS/ALES,1.0043478260869565,0.08695652173913043,0.005772005772005772,0.0021739130434782483
BAKED BREAD/BUNS/ROLLS,DINNER SAUSAGE,6.16304347826087,0.024456521739130436,0.0010822510822510823,1.0
BAKED BREAD/BUNS/ROLLS,PNT BTR/JELLY/JAMS,5.178668478260869,0.029891304347826084,0.0013227513227513227,1.0
BAKED BREAD/BUNS/ROLLS,LUNCHMEAT,4.159109095758869,0.08152173913043478,0.0036075036075036075,1.0
BAKED BREAD/BUNS/ROLLS,MEAT - SHELF STABLE,3.8373666940114846,0.024456521739130436,0.0010822510822510823,1.0
BAKED BREAD/BUNS/ROLLS,DELI MEATS,3.292398502735387,0.05978260869565217,0.0026455026455026454,1.0
BAKED BREAD/BUNS/ROLLS,TOMATOES,3.1169415292353824,0.05434782608695653,0.002405002405002405,1.0
BAKED BREAD/BUNS/ROLLS,BEEF,2.5974512743628186,0.08152173913043478,0.0036075036075036075,0.7987256371814093
BAKED BREAD/BUNS/ROLLS,POTATOES,2.3501739130434784,0.03532608695652174,0.0015632515632515633,0.6750869565217392
BAKED BREAD/BUNS/ROLLS,SALADS/DIPS,2.2597826086956525,0.027173913043478264,0.0012025012025012026,0.6298913043478263
BAKED BREAD/BUNS/ROLLS,CHEESE,2.1818590704647676,0.03804347826086957,0.0016835016835016834,0.5909295352323838
BAKED BREAD/BUNS/ROLLS,SUGARS/SWEETNERS,2.0543478260869565,0.03260869565217391,0.001443001443001443,0.5271739130434783
BAKED BREAD/BUNS/ROLLS,COLD CEREAL,2.037508909479686,0.029891304347826084,0.0013227513227513227,0.518754454739843
BAKED BREAD/BUNS/ROLLS,FLUID MILK PRODUCTS,1.6158530926639134,0.18206521739130435,0.008056758056758057,0.3079265463319567
BAKED BREAD/BUNS/ROLLS,ICE CREAM/MILK/SHERBTS,1.3930166765932104,0.024456521739130436,0.0010822510822510823,0.1965083382966052
BAKED BREAD/BUNS/ROLLS,COOKIES/CONES,1.3558695652173915,0.024456521739130436,0.0010822510822510823,0.17793478260869577
BAKED BREAD/BUNS/ROLLS,SOUP,1.3558695652173915,0.024456521739130436,0.0010822510822510823,0.17793478260869577
BAKED BREAD/BUNS/ROLLS,TROPICAL FRUIT,1.2688618925831203,0.05706521739130435,0.0025252525252525255,0.13443094629156016
BAKED BREAD/BUNS/ROLLS,VEGETABLES - ALL OTHERS,1.202012025901943,0.027173913043478264,0.0012025012025012026,0.10100601295097145
BAKED BREAD/BUNS/ROLLS,EGGS,1.155570652173913,0.024456521739130436,0.0010822510822510823,0.07778532608695654
BAKED BREAD/BUNS/ROLLS,BAG SNACKS,1.105328449905482,0.07336956521739131,0.003246753246753247,0.052664224952741034
BAKED BREAD/BUNS/ROLLS,ONIONS,1.105328449905482,0.024456521739130436,0.0010822510822510823,0.052664224952741034
BAKED BREAD/BUNS/ROLLS,REFRGRATD JUICES/DRNKS,1.0890518596123624,0.03260869565217391,0.001443001443001443,0.0445259298061812
BAKED BREAD/BUNS/ROLLS,BREAKFAST SWEETS,1.0444373401534526,0.029891304347826084,0.0013227513227513227,0.022218670076726288
BAKED SWEET GOODS,REFRGRATD JUICES/DRNKS,2.059763282203704,0.06167400881057268,0.0016835016835016834,0.5298816411018521
BAKED SWEET GOODS,FLUID MILK PRODUCTS,1.485705151411149,0.16740088105726872,0.00456950456950457,0.2428525757055745
BAKED SWEET GOODS,BAG SNACKS,1.3936985251867458,0.09251101321585903,0.0025252525252525255,0.19684926259337288
BAKED SWEET GOODS,TROPICAL FRUIT,1.0774812127494169,0.04845814977973568,0.0013227513227513227,0.03874060637470844
BAKED SWEET GOODS,SOFT DRINKS,1.050355811589292,0.18061674008810574,0.004930254930254931,0.02517790579464596
BAKING MIXES,BAKING NEEDS,10.309746328437917,0.1326530612244898,0.0015632515632515633,1.0
BAKING MIXES,SUGARS/SWEETNERS,5.7857142857142865,0.09183673469387756,0.0010822510822510823,1.0
BAKING MIXES,EGGS,4.821428571428572,0.10204081632653061,0.0012025012025012026,1.0
BAKING MIXES,FLUID MILK PRODUCTS,1.2678762006403415,0.14285714285714285,0.0016835016835016834,0.13393810032017073
BAKING NEEDS,BAKING MIXES,10.309746328437917,0.12149532710280374,0.0015632515632515633,1.0
BAKING NEEDS,CAKES,7.17411933860532,0.16822429906542055,0.0021645021645021645,1.0
BAKING NEEDS,GREETING CARDS/WRAP/PARTY SPLY,1.735674033533545,0.08411214953271028,0.0010822510822510823,0.3678370167667725
BATH TISSUES,PAPER TOWELS,19.02974828375286,0.13043478260869565,0.0010822510822510823,1.0
BATH TISSUES,CIGARETTES,2.299301859404161,0.17391304347826086,0.001443001443001443,0.6496509297020805
BEEF,DRY SAUCES/GRAVY,8.134996331621423,0.04597701149425287,0.001443001443001443,1.0
BEEF,PORK,5.622718052738337,0.04597701149425287,0.001443001443001443,1.0
BEEF,VEGETABLES - SHELF STABLE,5.310344827586207,0.0421455938697318,0.0013227513227513227,1.0
BEEF,HISPANIC,4.751361161524501,0.06513409961685823,0.002044252044252044,1.0
BEEF,PEPPERS-ALL,4.611615245009075,0.0421455938697318,0.0013227513227513227,1.0
BEEF,DRY BN/VEG/POTATO/RICE,4.502248875562219,0.04980842911877395,0.0015632515632515633,1.0
BEEF,POTATOES,4.078344827586207,0.06130268199233717,0.001924001924001924,1.0
BEEF,TOMATOES,3.5158145065398334,0.06130268199233717,0.001924001924001924,1.0
BEEF,ONIONS,3.290104947526237,0.07279693486590039,0.002284752284752285,1.0
BEEF,VEGETABLES SALAD,3.1598746081504703,0.04597701149425287,0.001443001443001443,1.0
BEEF,BAKED BREAD/BUNS/ROLLS,2.5974512743628186,0.11494252873563218,0.0036075036075036075,0.7987256371814093
BEEF,SOUP,2.3365517241379314,0.0421455938697318,0.0013227513227513227,0.6682758620689657
BEEF,LUNCHMEAT,2.1502009731330656,0.0421455938697318,0.0013227513227513227,0.5751004865665328
BEEF,VEGETABLES - ALL OTHERS,2.0337490829053557,0.04597701149425287,0.001443001443001443,0.5168745414526779
BEEF,EGGS,1.6293103448275863,0.034482758620689655,0.0010822510822510823,0.31465517241379315
BEEF,BEERS/ALES,1.3275862068965518,0.11494252873563218,0.0036075036075036075,0.1637931034482759
BEERS/ALES,MISC WINE,4.733606557377049,0.034722222222222224,0.0030062530062530063,1.0
BEERS/ALES,LIQUOR,3.035036496350365,0.05,0.004329004329004329,1.0
BEERS/ALES,DOMESTIC WINE,2.75820895522388,0.06666666666666667,0.005772005772005772,0.8791044776119401
BEERS/ALES,TOBACCO OTHER,2.740677966101695,0.019444444444444445,0.0016835016835016834,0.8703389830508474
BEERS/ALES,CITRUS,2.6522222222222225,0.043055555555555555,0.003727753727753728,0.8261111111111112
BEERS/ALES,FRZN ICE,2.5265625,0.03888888888888889,0.003367003367003367,0.7632812499999999
BEERS/ALES,SEAFOOD-FRESH,2.4174418604651167,0.0125,0.0010822510822510823,0.7087209302325583
BEERS/ALES,CHARCOAL AND LIGHTER FLUID,2.40625,0.01388888888888889,0.0012025012025012026,0.703125
BEERS/ALES,IMPORTED WINE,2.3896551724137933,0.016666666666666666,0.001443001443001443,0.6948275862068967
BEERS/ALES,WAREHOUSE SNACKS,1.8962686567164178,0.015277777777777777,0.0013227513227513227,0.4481343283582089
BEERS/ALES,CIGARETTES,1.8729729729729732,0.1416666666666667,0.012265512265512266,0.4364864864864866
BEERS/ALES,DRY BN/VEG/POTATO/RICE,1.5065217391304349,0.016666666666666666,0.001443001443001443,0.25326086956521743
BEERS/ALES,CONDIMENTS/SAUCES,1.406086956521739,0.019444444444444445,0.0016835016835016834,0.20304347826086955
BEERS/ALES,BEEF,1.3275862068965518,0.04166666666666667,0.0036075036075036075,0.1637931034482759
BEERS/ALES,HOUSEHOLD CLEANG NEEDS,1.2455882352941177,0.015277777777777777,0.0013227513227513227,0.12279411764705883
BEERS/ALES,HISPANIC,1.0131578947368423,0.01388888888888889,0.0012025012025012026,0.006578947368421129
