household_key,COMMODITY_DESC,seed_items,relevance_als,relevance_mba,Relevance,source,source_detail,snapshot_week,was_recently_purchased
1,BAKED SWEET GOODS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.8917524218559265,0.0,0.8917524218559265,als,ALS,46,False
1,BATH TISSUES,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.4570835530757904,0.0,0.4570835530757904,als,ALS,46,False
1,BEANS - CANNED GLASS & MW,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.568803071975708,0.0,0.568803071975708,als,ALS,46,False
1,BEEF,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.0,0.7987256371814093,0.7987256371814093,mba,MBA,46,False
1,BEERS/ALES,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.0,0.8261111111111112,0.8261111111111112,mba,MBA,46,False
1,BREAKFAST SWEETS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.9038515090942383,0.022218670076726288,0.9038515090942383,both,BOTH,46,False
1,CANDY - CHECKLANE,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.4152679741382599,0.0,0.4152679741382599,als,ALS,46,False
1,CARROTS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.9408594965934753,0.0,0.9408594965934753,als,ALS,46,False
1,CHEESES,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.6960664391517639,0.0,0.6960664391517639,als,ALS,46,False
1,COFFEE,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.6718371510505676,0.0,0.6718371510505676,als,ALS,46,False
1,DINNER SAUSAGE,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.0,1.0,1.0,mba,MBA,46,False
1,EGGS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.0,0.07778532608695654,0.07778532608695654,mba,MBA,46,False
1,FRZN BREAKFAST FOODS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.6834256052970886,0.0,0.6834256052970886,als,ALS,46,False
1,FRZN MEAT/MEAT DINNERS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.9905552268028259,0.0,0.9905552268028259,als,ALS,46,False
1,FRZN NOVELTIES/WTR ICE,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.6076561212539673,0.0,0.6076561212539673,als,ALS,46,False
1,HAIR CARE PRODUCTS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.4071471691131592,0.0,0.4071471691131592,als,ALS,46,False
1,HOUSEHOLD CLEANG NEEDS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.4668576717376709,0.0,0.4668576717376709,als,ALS,46,False
1,ICE CREAM/MILK/SHERBTS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.7502646446228027,0.1965083382966052,0.7502646446228027,both,BOTH,46,False
1,LAUNDRY DETERGENTS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.5387309789657593,0.0,0.5387309789657593,als,ALS,46,False
1,MILK BY-PRODUCTS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.44739583134651184,0.0,0.44739583134651184,als,ALS,46,False
1,ONIONS,BAKED BREAD/BUNS/ROLLS | SNACK NUTS | CITRUS,0.6250537037849426,1.0,1.0,both,BOTH,46,False
